iso_3,agriculture_type,representative_administrative_boundary_id,representative_administrative_boundary_name,representative_administrative_boundary_total_star_per_ha,representative_administrative_boundary_agriculture_star_per_ha,max_administrative_boundary_id,max_administrative_boundary_name,max_administrative_boundary_total_star_per_ha,max_administrative_boundary_agriculture_star_per_ha,min_administrative_boundary_id,min_administrative_boundary_name,min_administrative_boundary_total_star_per_ha,min_administrative_boundary_agriculture_star_per_ha
BLR,Crops,BLR.5_1,Minsk,3.40381E-06,1.76125E-07,BLR.3_1,Hrodna,2.1087E-05,1.4112E-07,BLR.6_1,Vitsyebsk,2.55752E-06,1.99481E-07
BLZ,Crops,BLZ.4_1,Orange Walk,0.000147258,4.24986E-05,BLZ.6_1,Toledo,0.004495089,0.001134935,BLZ.4_1,Orange Walk,0.000147258,4.24986E-05
BOL,Crops,BOL.8_1,Santa Cruz,0.000243046,4.71875E-05,BOL.5_1,Oruro,0.007226934,2.09593E-05,BOL.8_1,Santa Cruz,0.000243046,4.71875E-05
BRA,Crops,BRA.12_1,Mato Grosso,6.37817E-05,1.99347E-05,BRA.8_1,Espírito Santo,0.002794071,0.000666671,BRA.20_1,Rio Grande do Norte,2.41556E-05,4.22056E-06
BRB,Crops,BRB.10_1,Saint Philip,3.00658E-08,1.80671E-09,BRB.9_1,Saint Peter,0.001952069,0.000643953,BRB.3_1,Saint George,0,0
BRN,Crops,BRN.2_1,Brunei and Muara,0.000257929,8.88771E-05,BRN.1_1,Belait,0.003291399,0.001282621,BRN.2_1,Brunei and Muara,0.000257929,8.88771E-05
BTN,Crops,BTN.12_1,Samtse,0.001088327,0.00023766,BTN.16_1,Trongsa,0.006574358,0.001047465,BTN.8_1,Paro,0.000853791,0.000173357
BWA,Crops,BWA.1_1,Central,5.78718E-05,4.03127E-06,BWA.5_1,Ghanzi,0.000384577,3.11592E-05,BWA.15_1,Southern,1.96115E-05,1.00815E-06
CAF,Crops,CAF.17_1,Vakaga,2.27366E-05,1.66387E-06,CAF.1_1,Bamingui-Bangoran,0.000560965,5.10412E-05,CAF.2_1,Bangui,5.49689E-06,9.9802E-07
CAN,Crops,CAN.12_1,Saskatchewan,9.11723E-07,1.22231E-07,CAN.2_1,British Columbia,8.62711E-05,2.00095E-06,CAN.10_1,Prince Edward Island,2.9077E-07,5.39922E-11
CHE,Crops,CHE.24_1,Vaud,5.85261E-06,1.05485E-07,CHE.21_1,Ticino,0.00045625,0.000116375,CHE.8_1,Genève,1.60773E-06,4.71966E-08
CHL,Crops,CHL.11_1,Magallanes y Antártica Chilena,0.00027803,3.13275E-05,CHL.7_1,Coquimbo,0.00300764,0.00011897,CHL.11_1,Magallanes y Antártica Chilena,0.00027803,3.13275E-05
CHN,Crops,CHN.11_1,Heilongjiang,2.95226E-05,6.39088E-06,CHN.9_1,Hainan,0.001702889,0.000415453,CHN.23_1,Shandong,4.79632E-06,6.34693E-07
CIV,Crops,CIV.2_1,Bas-Sassandra,0.000108802,3.73058E-05,CIV.1_1,Abidjan,0.00313154,0.002948882,CIV.5_1,Gôh-Djiboua,1.09705E-05,3.59599E-06
CMR,Crops,CMR.4_1,Extrême-Nord,3.26087E-06,2.82386E-07,CMR.6_1,Nord-Ouest,0.072091007,0.021843167,CMR.4_1,Extrême-Nord,3.26087E-06,2.82386E-07
COD,Crops,COD.25_1,Tshopo,9.91525E-05,3.21446E-05,COD.22_1,Sud-Kivu,0.002783269,0.000876701,COD.8_1,Kasaï-Oriental,2.57353E-06,3.37112E-07
COG,Crops,COG.11_1,Pool,0.000174733,8.05965E-05,COG.9_1,Plateaux,0.000323069,0.000144477,COG.1_1,Bouenza,7.93229E-06,1.22768E-06
COL,Crops,COL.13_1,Córdoba,0.000304729,0.000153605,COL.25_1,Risaralda,0.04002275,0.014673994,COL.3_1,Arauca,7.48087E-05,1.6425E-05
COM,Crops,COM.2_1,Njazídja,0.046446306,0.010974091,COM.1_1,Mwali,0.144179578,0.038903961,COM.2_1,Njazídja,0.046446306,0.010974091
CPV,Crops,CPV.14_1,Santa Cruz,0.001526317,9.06771E-08,CPV.21_1,Tarrafal,0.00534713,2.55181E-07,CPV.14_1,Santa Cruz,0.001526317,9.06771E-08
CRI,Crops,CRI.3_1,Guanacaste,0.001676186,0.000198435,CRI.2_1,Cartago,0.033476685,0.007036664,CRI.3_1,Guanacaste,0.001676186,0.000198435
CUB,Crops,CUB.1_1,Camagüey,0.000760313,0.000252653,CUB.8_1,Isla de la Juventud,0.016738123,0.00676681,CUB.10_1,Las Tunas,0.00026758,6.5499E-05
CYP,Crops,CYP.5_1,Paphos,5.55927E-06,5.10504E-08,CYP.4_1,Nicosia,1.8776E-05,3.45691E-07,CYP.1_1,Famagusta,2.54214E-06,8.7376E-08
CZE,Crops,CZE.12_1,Stredoceský,1.62584E-06,1.30197E-07,CZE.3_1,Karlovarský,1.14129E-05,1.32536E-06,CZE.11_1,Prague,7.23802E-07,4.40969E-08
DEU,Crops,DEU.2_1,Bayern,3.7821E-06,1.70294E-07,DEU.3_1,Berlin,1.1136E-05,6.25025E-07,DEU.15_1,Schleswig-Holstein,8.70374E-07,1.12557E-07
DNK,Crops,DNK.2_1,Midtjylland,2.3375E-07,1.67417E-08,DNK.1_1,Hovedstaden,5.8699E-07,3.0009E-08,DNK.4_1,Sjælland,2.20977E-07,1.3984E-08
DOM,Crops,DOM.26_1,San Juan,0.00274222,0.001071208,DOM.3_1,Barahona,0.023000836,0.008450439,DOM.27_1,San Pedro de Macorís,0.000313944,9.61824E-05
DZA,Crops,DZA.43_1,Tiaret,2.25515E-05,3.9424E-06,DZA.23_1,Jijel,0.002706854,5.46799E-05,DZA.21_1,Guelma,5.35786E-07,4.63624E-08
ECU,Crops,ECU.14_1,Manabi,0.001536003,0.000441627,ECU.15_1,Morona Santiago,0.138078355,0.029896017,ECU.17_1,Orellana,0.000284824,7.61276E-05
EGY,Crops,EGY.3_1,Al Buhayrah,1.44031E-06,9.63143E-08,EGY.26_1,Shamal Sina',0.000573691,0.000183597,EGY.9_1,Al Minufiyah,7.18042E-09,1.74119E-09
ERI,Crops,ERI.4_1,Gash Barka,4.94809E-05,1.2435E-06,ERI.3_1,Debubawi Keyih Bahri,0.000970657,2.26759E-06,ERI.5_1,Maekel,1.29712E-05,2.15997E-06
