mine_id,relationship,company
25180,owner,Gila Mines Corp.
25182,operator,Hecla Mining Company
25182,owner,Hecla Mining Company
25218,operator,NA
25218,owner,NA
25220,operator,Equinox Gold Corp.
25220,owner,Equinox Gold Corp.
25228,operator,RMG Mining Inc
25228,owner,RMG Mining Inc
25233,operator,"Coeur Mining, Inc."
25233,owner,"Coeur Mining, Inc."
25251,operator,Americas Gold and Silver Corporation
25251,owner,Americas Gold and Silver Corporation
25253,operator,NA
25253,owner,NA
25262,operator,NA
25262,owner,Beaver Resources Inc.
25279,operator,NA
25279,owner,NA
25300,operator,"Waterton Global Resource Management, Inc."
25300,owner,"Waterton Global Resource Management, Inc."
25315,operator,Kinross Gold Corporation
25315,owner,Kinross Gold Corporation
25318,operator,Santa Fe Gold Corporation
25318,owner,Santa Fe Gold Corporation
25336,operator,NA
25336,owner,NA
25338,operator,NA
25338,owner,NA
25364,operator,United Silver Corporation
25364,owner,United Silver Corporation
25369,operator,NA
25369,owner,NA
25370,operator,Dakota Mining Corp.
25370,owner,Dakota Mining Corp.
25386,operator,NA
25386,owner,NA
25397,operator,NA
25397,owner,NA
25440,operator,Kinross Gold Corporation
25440,owner,Kinross Gold Corporation
25452,operator,Equinox Gold Corp.
25452,owner,Equinox Gold Corp.
25457,operator,New Jersey Mining Company
25457,owner,New Jersey Mining Company
25461,operator,Fiore Gold Ltd.
25461,owner,Fiore Gold Ltd.
25468,operator,NA
25468,owner,Arimetco International Inc
25487,operator,Doe Run Company
25487,owner,Doe Run Company
25488,operator,Americas Gold and Silver Corporation
25488,owner,Americas Gold and Silver Corporation
25489,operator,Americas Gold and Silver Corporation
25489,owner,Americas Gold and Silver Corporation
25490,operator,Kinross Gold Corporation
25490,owner,Kinross Gold Corporation
25492,operator,Jerritt Canyon Gold LLC
25492,owner,Sprott Mining Inc.
25493,operator,Doe Run Company
25493,owner,Doe Run Company
25494,operator,Hecla Mining Company
25494,owner,Hecla Mining Company
25495,operator,"Gatos Silver, Inc."
25495,owner,"Gatos Silver, Inc."
25507,operator,NA
25507,owner,NA
25509,operator,NA
25509,owner,NA
25512,operator,NA
25512,owner,NA
25514,operator,NA
25514,owner,NA
25515,operator,Cominco American Resources Inc
25515,owner,Halliburton Company
25518,operator,5M Corp
25518,owner,5M Corp
25519,operator,NA
25519,owner,NA
25520,operator,NA
25520,owner,NA
25524,operator,NA
25524,owner,NA
25535,operator,NA
25535,owner,NA
25537,operator,NA
25537,owner,NA
25539,operator,Canyon Resources Corporation
25539,owner,Canyon Resources Corporation
25554,operator,NA
25554,owner,NA
25556,operator,"DV Natural Resources, LLC"
25556,owner,"DV Natural Resources, LLC"
25558,operator,Nichols Contracting
25558,owner,Nichols Contracting
25560,operator,Barrick Gold Corporation
25560,owner,Barrick Gold Corporation
25571,operator,NA
25571,owner,NA
25581,operator,NA
25581,owner,NA
25586,operator,Micro Gold LI
25586,owner,Micro Gold LI
25606,operator,Hycroft Mining Holding Corporation
25606,owner,Hycroft Mining Holding Corporation
25609,operator,Newmont Corporation
25609,owner,Newmont Corporation
25610,operator,Haoma Mining NL
25610,owner,Haoma Mining NL
25611,operator,Westgold Resources Limited
25611,owner,Westgold Resources Limited
25613,operator,Newmont Corporation
25613,owner,Newmont Corporation
25616,operator,Brunswick NL
25616,owner,Brunswick NL
