iso_3,agriculture_type,total_star
MNE,Livestock,0.83710941
MNG,Crops,541.6272754
MNG,Livestock,768.7168983
MNP,Crops,448.3367311
MNP,Livestock,0
MOZ,Crops,1474.535888
MOZ,Livestock,1857.949847
MRT,Crops,79.13449741
MRT,Livestock,154.8431191
MSR,Crops,272.6300247
MSR,Livestock,143.2242432
MTQ,Crops,266.2752904
MTQ,Livestock,38.16190386
MUS,Crops,1947.302027
MUS,Livestock,0
MWI,Crops,1281.429256
MWI,Livestock,550.7257792
MYS,Crops,9828.506027
MYS,Livestock,58.32671677
MYT,Crops,24.02359986
MYT,Livestock,0
NAM,Crops,166.2773801
NAM,Livestock,405.8715608
NCL,Crops,3269.610382
NCL,Livestock,406.4114909
NER,Crops,141.7398423
NER,Livestock,158.8884075
NFK,Crops,0.088541754
NFK,Livestock,0
NGA,Crops,2463.577349
NGA,Livestock,2458.24799
NIC,Crops,768.5444866
NIC,Livestock,331.4673501
NIU,Crops,8.861663325
NIU,Livestock,0
NLD,Crops,3.675267342
NLD,Livestock,1.022797055
NOR,Crops,60.0999227
NOR,Livestock,2.739412231
NPL,Crops,1772.315298
NPL,Livestock,310.2919461
NRU,Crops,0.193979442
NRU,Livestock,0
NZL,Crops,2709.9263
NZL,Livestock,1535.553848
OMN,Crops,90.29391213
OMN,Livestock,58.88613374
PAK,Crops,1063.485688
PAK,Livestock,439.5393601
PAN,Crops,5250.071725
PAN,Livestock,2350.699936
PCN,Crops,0
PCN,Livestock,0
PER,Crops,26459.05638
PER,Livestock,13226.29231
PHL,Crops,28480.46322
PHL,Livestock,2626.050828
PLW,Crops,429.056288
PLW,Livestock,0
PNG,Crops,8378.355344
PNG,Livestock,63.69147813
POL,Crops,124.0993198
POL,Livestock,45.66258617
PRI,Crops,2977.6298
PRI,Livestock,265.4101496
PRK,Crops,190.525552
PRK,Livestock,0.694902331
PRT,Crops,828.7217906
PRT,Livestock,86.59801224
PRY,Crops,852.1510521
PRY,Livestock,487.4243988
PSE,Crops,72.45388671
PSE,Livestock,45.93784088
PYF,Crops,2795.46371
